TimeStamp,GET,SET
2025-01-12 19:01:50,99584.55,99432.46
2025-01-12 19:01:53,99639.52,99325.02
2025-01-12 19:01:56,99596.98,99650.17
2025-01-12 19:01:59,99614.39,99705.70
2025-01-12 19:02:02,99692.63,99664.04
2025-01-12 19:02:05,99726.68,99734.18
2025-01-12 19:02:08,99509.67,99762.14
2025-01-12 19:02:11,99303.15,99597.87
2025-01-12 19:02:14,99215.94,99380.90
2025-01-12 19:02:17,99633.26,96150.69
2025-01-12 19:02:20,99465.81,99711.70
2025-01-12 19:02:23,99609.61,99548.15
2025-01-12 19:02:26,99678.85,99588.49
2025-01-12 19:02:29,99517.74,99432.28
2025-01-12 19:02:32,99651.15,99195.08
2025-01-12 19:02:35,99563.28,99689.97
2025-01-12 19:02:38,99599.36,99593.02
2025-01-12 19:02:41,99527.25,99624.18
2025-01-12 19:02:44,99589.27,99652.66
2025-01-12 19:02:47,99549.38,99480.05
2025-01-12 19:02:50,99679.31,99610.80
2025-01-12 19:02:53,99729.66,99475.47
2025-01-12 19:02:56,99576.14,99750.90
2025-01-12 19:02:59,99750.42,99116.38
2025-01-12 19:03:02,99699.85,99700.10
2025-01-12 19:03:05,98192.19,98885.35
2025-01-12 19:03:08,99627.78,99752.44
2025-01-12 19:03:11,99502.20,99492.79
2025-01-12 19:03:14,99030.14,99671.74
2025-01-12 19:03:17,99648.19,99550.96
2025-01-12 19:03:20,99675.90,99546.86
2025-01-12 19:03:23,99309.49,99508.29
2025-01-12 19:03:26,99626.95,99613.13
2025-01-12 19:03:29,99565.42,99061.68
2025-01-12 19:03:32,99495.45,99704.11
2025-01-12 19:03:36,99123.59,99708.26
2025-01-12 19:03:39,99671.18,99617.04
2025-01-12 19:03:42,99545.48,99620.16
2025-01-12 19:03:45,99663.84,99735.71
2025-01-12 19:03:48,99739.22,99425.66
2025-01-12 19:03:51,99580.42,99645.46
2025-01-12 19:03:54,99447.26,99396.49
2025-01-12 19:03:57,99547.22,98217.13
2025-01-12 19:04:00,99612.10,99631.97
2025-01-12 19:04:03,99693.63,99561.27
2025-01-12 19:04:06,99041.07,99624.40
2025-01-12 19:04:09,99700.33,99381.01
2025-01-12 19:04:12,99550.97,99748.44
2025-01-12 19:04:15,99524.99,99583.42
2025-01-12 19:04:18,99527.49,99326.46
2025-01-12 19:04:21,99485.91,99669.22
2025-01-12 19:04:24,99455.64,99651.73
2025-01-12 19:04:27,99677.31,99741.88
2025-01-12 19:04:30,98970.38,99560.04
2025-01-12 19:04:33,99661.83,99741.63
2025-01-12 19:04:36,99479.00,99344.26
2025-01-12 19:04:39,99677.89,99651.68
2025-01-12 19:04:42,99736.74,99740.36
2025-01-12 19:04:45,99627.21,98076.43
2025-01-12 19:04:48,99385.94,99648.97
2025-01-12 19:04:51,99197.50,99758.33
2025-01-12 19:04:54,99201.90,99514.84
2025-01-12 19:04:57,99581.55,99620.54
2025-01-12 19:05:00,99693.89,99615.21
